"NestID","bandid","startI","endI","CheckDate","NestFate"
"9005_2023_2","9005",2023-06-13,2023-07-08,2023-07-10,"Hatched"
"9007_2023_1","9007",2023-05-03,2023-05-29,2023-05-30,"Hatched"
"9009_2023_1","9009",2023-05-16,2023-05-26,2023-05-30,"Predation"
"9010_2023_1","9010",2023-05-01,2023-05-05,2023-05-05,"Predation"
"9010_2023_2","9010",2023-06-02,2023-06-07,2023-06-29,"Hatched"
"9013_2023_1","9013",2023-04-22,2023-05-08,2023-05-11,"Predation"
"9013_2023_2","9013",2023-06-30,2023-07-22,2023-07-25,"Destroyed"
"9019_2023_1","9019",2023-05-27,2023-05-31,2023-06-06,"Predation"
"9020_2023_1","9020",2023-05-18,2023-06-04,2023-06-06,"Predation"
"9021_2023_1","9021",2023-05-08,2023-05-15,2023-05-17,"Predation"
"9022_2023_2","9022",2023-06-09,2023-06-16,2023-07-05,"Predation"
"9023_2023_2","9023",2023-06-15,2023-06-26,2023-06-30,"Predation"
"9024_2023_1","9024",2023-04-29,2023-05-02,2023-05-03,"Predation"
"9024_2023_2","9024",2023-05-20,2023-06-02,2023-06-06,"Predation"
"9024_2023_3","9024",2023-07-08,2023-07-20,2023-07-24,"Predation"
"9026_2023_1","9026",2023-05-06,2023-06-01,2023-06-02,"Hatched"
"9051_2023_1","9051",2023-07-21,2023-08-04,2023-08-04,"Abandoned"
"9054_2023_1","9054",2023-04-25,2023-05-01,2023-05-08,"Predation"
"9054_2023_2","9054",2023-05-24,2023-06-17,2023-06-20,"Hatched"
"9055_2023_1","9055",2023-05-12,2023-05-16,2023-05-17,"Destroyed"
"9055_2023_2","9055",2023-06-10,2023-06-17,2023-06-20,"Destroyed"
"9058_2023_1","9058",2023-04-22,2023-04-24,2023-04-26,"Predation"
"9062_2023_1","9062",2023-06-17,2023-06-23,2023-07-13,"Predation"
"9064_2023_1","9064",2023-04-23,2023-04-28,2023-04-28,"Predation"
"9065_2023_1","9065",2023-05-16,2023-06-11,2023-06-12,"Hatched"
"9068_2023_1","9068",2023-04-22,2023-05-03,2023-05-08,"Predation"
"9075_2023_1","9075",2023-04-28,2023-05-25,2023-05-25,"Hatched"
"9076_2023_1","9076",2023-06-07,2023-06-22,2023-06-22,"Predation"
"9076_2023_2","9076",2023-07-17,2023-08-10,2023-08-11,"Predation"
"9079_2023_1","9079",2023-05-25,2023-05-29,2023-06-01,"Destroyed"
"9083_2023_1","9083",2023-05-05,2023-05-11,2023-05-11,"Predation"
"9084_2023_1","9084",2023-05-26,2023-06-20,2023-06-22,"Hatched"
"9085_2023_1","9085",2023-05-30,2023-06-25,2023-06-26,"Hatched"
"9090_2023_1","9090",2023-05-03,2023-05-24,2023-05-30,"Hatched"
"9092_2023_2","9092",2023-06-13,2023-06-28,2023-06-29,"Predation"
"9093_2023_1","9093",2023-05-06,2023-05-15,2023-05-22,"Predation"
"9094_2023_1","9094",2023-05-07,2023-05-18,2023-05-18,"Predation"
"9096_2023_1","9096",2023-05-09,2023-05-20,2023-05-23,"Predation"
