"NestID","bandid","startI","endI","CheckDate","NestFate"
"1178_2024_2","1178",2024-05-10,2024-05-24,"2024-05-24","Predation"
"1181_2023_1","1181",2023-04-29,2023-05-20,"2023-05-22","Predation"
"1181_2024_1","1181",2024-04-23,2024-05-19,"2024-05-20","Hatched"
"1184_2023_1","1184",2023-04-26,2023-04-28,"2023-05-16","Predation"
"1186_2023_2","1186",2023-05-26,2023-05-27,"2023-05-29","Predation"
"1187_2023_1","1187",2023-04-28,2023-04-30,"2023-05-25","Hatched"
"1194_2023_2","1194",2023-05-19,2023-05-28,"2023-05-29","Predation"
"1195_2024_1","1195",2024-04-27,2024-05-04,"2024-05-10","Predation"
"1195_2024_3","1195",2024-06-19,2024-06-24,"2024-06-27","Predation"
"1202_2024_1","1202",2024-05-09,2024-06-03,"2024-06-05","Hatched"
"1203_2024_1","1203",2024-05-22,2024-06-16,"2024-06-17","Hatched"
"1204_2024_2","1204",2024-06-04,2024-06-28,"2024-07-01","Hatched"
"1205_2024_1","1205",2024-05-07,2024-05-15,"2024-05-15","Predation"
"1205_2024_2","1205",2024-06-07,2024-06-28,"2024-07-01","Predation"
"1206_2024_1","1206",2024-04-30,2024-05-04,"2024-05-06","Predation"
"1207_2024_1","1207",2024-04-30,2024-05-07,"2024-05-07","Predation"
"1208_2024_1","1208",2024-05-14,2024-06-09,"2024-06-10","Hatched"
"1209_2024_1","1209",2024-04-27,2024-04-30,"2024-04-30","Predation"
"1210_2024_1","1210",2024-04-15,2024-04-18,"2024-04-22","Predation"
"1211_2024_3","1211",2024-06-19,2024-07-03,"2024-07-16","Hatched"
"1213_2024_1","1213",2024-05-09,2024-05-15,"2024-05-16","Predation"
"1214_2024_2","1214",2024-05-07,2024-05-20,"2024-05-30","Predation"
"1215_2024_2","1215",2024-05-28,2024-05-30,"2024-06-24","Hatched"
"1216_2024_1","1216",2024-05-13,2024-06-07,"2024-06-09","Predation"
"1252_2023_1","1252",2023-04-30,2023-05-23,"2023-05-26","Predation"
"1258_2023_1","1258",2023-05-13,2023-05-19,"2023-05-23","Predation"
"1258_2023_2","1258",2023-06-11,2023-06-27,"2023-06-30","Predation"
"1261_2023_1","1261",2023-05-23,2023-06-16,"2023-06-19","Hatched"
"1261_2024_1","1261",2024-05-01,2024-05-24,"2024-05-28","Hatched"
"1262_2023_1","1262",2023-05-09,2023-05-23,"2023-06-05","Hatched"
"1263_2023_1","1263",2023-05-13,2023-05-31,"2023-06-09","Hatched"
"1263_2024_1","1263",2024-05-03,2024-05-04,"2024-05-30","Hatched"
"1264_2023_1","1264",2023-05-04,2023-05-27,"2023-05-31","Hatched"
"1266_2023_1","1266",2023-05-07,2023-05-13,"2023-06-03","Hatched"
"1267_2023_1","1267",2023-04-27,2023-05-10,"2023-05-16","Predation"
"1268_2023_1","1268",2023-04-24,2023-05-01,"2023-05-04","Predation"
"1279_2024_3","1279",2024-06-09,2024-06-11,"2024-06-18","Predation"
"1286_2024_1","1286",2024-05-15,2024-05-20,"2024-05-22","Predation"
"1291_2024_1","1291",2024-05-12,2024-05-18,"2024-05-22","Predation"
"1291_2024_2","1291",2024-06-06,2024-06-13,"2024-06-17","Predation"
"1292_2024_1","1292",2024-04-23,2024-05-09,"2024-05-20","Hatched"
"1294_2024_2","1294",2024-06-19,2024-07-13,"2024-07-16","Hatched"
"1295_2024_1","1295",2024-05-09,2024-05-13,"2024-05-17","Predation"
"1295_2024_2","1295",2024-06-01,2024-06-25,"2024-06-28","Hatched"
"1297_2024_2","1297",2024-06-02,2024-06-06,"2024-06-07","Predation"
"1491_2024_1","1491",2024-04-24,2024-04-29,"2024-04-29","Predation"
"1493_2024_1","1493",2024-04-26,2024-05-22,"2024-05-23","Hatched"
"1494_2024_3","1494",2024-05-22,2024-06-07,"2024-06-11","Predation"
"1496_2024_1","1496",2024-04-30,2024-05-03,"2024-05-06","Predation"
"1496_2024_2","1496",2024-05-23,2024-06-05,"2024-06-06","Predation"
"1497_2024_1","1497",2024-04-28,2024-05-01,"2024-05-02","Predation"
"1497_2024_2","1497",2024-05-20,2024-05-29,"2024-06-04","Predation"
"1500_2024_1","1500",2024-05-18,2024-06-13,"2024-06-14","Hatched"
